CiteKey	EntryType	Author	Title	Journal	Month	Year	Key	Note	BookTitle	Volume	Number	Pages	DOI	Editor	Publisher	Address	Series	HowPublished	Type	School	Url
LeeTaoPICDC21	inproceedings	{}{Lee}{}{T.},{}{Tao}{}{M.},{}{Leok}{}{M.}	Variational symplectic accelerated optimization on {L}ie groups	NULL	December	2021	GO	NULL	Proceedings of IEEE Conference on Decision and Control	NULL	NULL	233 -- 240	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LinYanAIS21	article	{}{Lin}{}{L.},{}{Yan}{}{D.},{}{Lee}{}{T.},{}{Keidar}{}{M.}	Self-adaptive plasma chemistry and intelligent plasma medicine	Advanced Intelligent Systems	October	2021	BI	NULL	NULL	NULL	NULL	NULL	10.1002/aisy.202100112	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HouLeeKeiITRPMS22	article	{}{Hou}{}{Z.},{}{Lee}{}{T.},{}{Keidar}{}{M.}	Reinforcement learning with safe exploration for adaptive plasma cancer treatment	IEEE Transactions on Radiation and Plasma Medical Sciences	April	2022	BI	NULL	NULL	6	4	482--492	10.1109/TRPMS.2021.3094874	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanGamITAC22	article	{}{Wang}{}{W.},{}{Gamagedara}{}{K.},{}{Lee}{}{T.}	On the observability of attitude with single direction measurements	IEEE Transactions on Automatic Control	September	2022	GE	NULL	NULL	67	9	4986--4993	10.1109/TAC.2022.3179214	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamLeeAJDSMC22	article	{}{Gamagedara}{}{K.},{}{Lee}{}{T.}	Geometric adaptive controls of a quadrotor uav with decoupled attitude dynamics	ASME Journal of Dynamic Systems, Measurement, and Control	March	2022	GE	NULL	NULL	144	3	031002	10.1115/1.4052714	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SriPohPASF21b	inproceedings	{}{Sridhar}{}{M.},{}{Pohly}{}{J.},{}{Kang}{}{C.},{}{Lee}{}{T.},{}{Aono}{}{H.}	Effects of vein structures on fluid-structure interaction of flexible flapping wings at high altitudes	NULL	January	2021	GM	AIAA 2021-0963	Proceedings of the AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamLeeITAES20	article	{}{Gamagedara}{}{K.},{}{Lee}{}{T.},{}{Snyder}{}{M.}	Quadrotor state estimation with {IMU} and delayed real-time kinematic {GPS}	IEEE Transactions on Aerospace and Electronic Systems	October	2021	GE	NULL	NULL	57	5	2661 -- 2673	10.1109/TAES.2021.3061795	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeeSPL20	article	{}{Wang}{}{W.},{}{Lee}{}{T.}	Higher-order central moments of matrix {F}isher distribution on {SO(3)}	Statistics and Probability Letters	February	2021	GE	NULL	NULL	169	NULL	NULL	https://doi.org/10.1016/j.spl.2020.108983	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeeITAC22	article	{}{Wang}{}{W.},{}{Lee}{}{T.}	Matrix {F}isher--{G}aussian distribution on {SO(3)xRn} for {B}ayesian attitude estimation	IEEE Transactions on Automatic Control	May	2022	GE	NULL	NULL	67	5	2175--2191	10.1109/TAC.2021.3073323	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePACC21	inproceedings	{}{Lee}{}{T.}	Stochastic attitude smoothing and interpolation on {SO(3)} with matrix {F}isher distributions	NULL	May	2021	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	1161 -- 1167	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YuGamPICDC20	inproceedings	{}{Yu}{}{B.},{}{Gamagedara}{}{K.},{}{Kim}{}{S.},{}{Lee}{}{T.},{}{Suk}{}{J.}	Geometric control and experimental validation for a quadrotor {UAV} transporting a payload	NULL	December	2020	GC	NULL	Proceedings of IEEE Conference on Decision and Control	NULL	NULL	201--207	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LinHouPP20	article	{}{Lin}{}{L.},{}{Hou}{}{Z.},{}{Yao}{}{X.},{}{Liu}{}{Y.},{}{Sirigiri}{}{J.},{}{Lee}{}{T.},{}{Keidar}{}{M.}	Introducing adaptive cold atmospheric plasma: The perspective of adaptive cold plasma cancer treatments based on real-time electrochemical impedance spectroscopy	Physics of Plasma	June	2020	BI	NULL	NULL	27	6	063501	10.1063/5.0003528	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeKeiPCT20	incollection	{}{Lee}{}{T.},{}{Keidar}{}{M.}	Adaptive plasma and machine learning	NULL	NULL	2020	BI	NULL	Plasma Cancer Therapy	NULL	NULL	223--250	NULL	{}{Keidar}{}{M.}	Springer	NULL	NULL	NULL	NULL	NULL	NULL
WanLeePACC20b	inproceedings	{}{Wang}{}{W.},{}{Lee}{}{T.}	Spectral uncertainty propagation for generalized stochastic hybrid systems with applications to a bouncing ball	NULL	July	2020	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	1803--1808	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePACC20	inproceedings	{}{Lee}{}{T.}	Adaptive learning {K}alman filter with {G}aussian process	NULL	July	2020	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	4442--4447	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ShaLeePACC20	inproceedings	{}{Sharma}{}{H.},{}{Lee}{}{T.},{}{Patil}{}{M.},{}{Woolsey}{}{C.}	Symplectic accelerated optimization on {SO(3)} with {L}ie group variational integrators	NULL	July	2020	GM	NULL	Proceedings of the American Control Conference	NULL	NULL	2826--2831	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CSriBB21	article	{}{C}{}{Tejaswi},{}{Sridhar}{}{M.},{}{Kang}{}{C.},{}{Lee}{}{T.}	Effects of abdomen undulation in energy consumption and stability for the flights of monarch butterfly	Bioinspiration and Biomemetics	May	2021	GM	NULL	NULL	16	4	046003	10.1088/1748-3190/abce4d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CKanPACC21	inproceedings	{}{C}{}{Tejaswi},{}{Kang}{}{C.},{}{Lee}{}{T.}	Dynamics and control of a flapping wing {UAV} with abdomen undulation inspired by {M}onarch butterfly	NULL	May	2021	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	66 -- 71	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SriKanBB21	article	{}{Sridhar}{}{M.},{}{Kang}{}{C.},{}{Landrum}{}{D.},{}{Aono}{}{H.},{}{Mathis}{}{S.},{}{Lee}{}{T.}	Effects of flight altitude on the lift generation of monarch butterflies: from sea level to overwintering mountain	Bioinspiration and Biomemetics	March	2021	GM	NULL	NULL	16	NULL	034002	https://doi.org/10.1088/1748-3190/abe108	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeePACC20	inproceedings	{}{Wang}{}{W.},{}{Lee}{}{T.}	Matrix {F}isher--{G}aussian distribution on so(3)xrn for attitude estimation with a gyro bias	NULL	July	2020	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	4429--4434	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SriKanPASF19	inproceedings	{}{Sridhar}{}{M.},{}{Kang}{}{C.},{}{Lee}{}{T.}	Geometric formulation for the dynamics of {M}onarch butterfly with the effects of abdomen undulation	NULL	January	2020	GM	AIAA 2020-1962	Proceedings of the AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeeA19	article	{}{Wang}{}{W.},{}{Lee}{}{T.}	Spectral bayesian estimation for general stochastic hybrid systems	Automatica	July	2020	GE	NULL	NULL	117	NULL	NULL	10.1016/j.automatica.2020.108989	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BisLeeITCST21	article	{}{Bisheban}{}{M.},{}{Lee}{}{T.}	Geometric adaptive control with neural networks for a quadrotor {UAV} in wind fields	IEEE Transactions on Control Systems Technology	July	2021	GC	NULL	NULL	29	4	1533--1548	10.1109/TCST.2020.3006184	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LyuLinJPAP19	article	{}{Lyu}{}{Y.},{}{Lin}{}{L.},{}{Gjika}{}{E},{}{Lee}{}{T.},{}{Keidar}{}{M.}	Mathematical modeling and control for cancer treatment with cold atmospheric plasma jet	Journal of Physics D: Applied Physics	May	2019	BI	NULL	NULL	52	18	185202	10.1088/1361-6463/ab061d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KulLeeJAS22	article	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Bayesian shape reconstruction and optimal guidance for autonomous landing on asteroids	Journal of the Astronautical Sciences	March	2022	GO	NULL	NULL	69	NULL	335--367	10.1007/s40295-022-00310-6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PohKanPASF19	inproceedings	{}{Pohly}{}{J.},{}{Kang}{}{C.},{}{Sridhar}{}{M.},{}{Landrum}{}{D.},{}{Fahimi}{}{F.},{}{Bluman}{}{J.},{}{Aono}{}{H.},{}{Lee}{}{T.}	Scaling bioinspired {M}ars flight vehicles for hover	NULL	January	2019	GM	AIAA 2019-0567	Proceedings of the AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ShaLeePACC19	inproceedings	{}{Sharma}{}{H.},{}{Lee}{}{T.}	Energy-preserving, adaptive time-step {Lie} group variational integrators for the attitude dynamics of a rigid body	NULL	June	2019	GM	NULL	Proceedings of the American Control Conference	NULL	NULL	5487--5492	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamBisPACC18	inproceedings	{}{Gamagedara}{}{K.},{}{Bisheban}{}{M.},{}{Kaufman}{}{E.},{}{Lee}{}{T.}	Geometric controls of a quadrotor with a decoupled yaw control	NULL	June	2019	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeIJAA22	article	{}{Lee}{}{T.}	Real harmonic analysis on the special orthogonal group	International Journal of Analysis and Applications	April	2022	GE	NULL	NULL	20	NULL	NULL	10.28924/2291-8639-20-2022-0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamLeePECC18	inproceedings	{}{Gamagedara}{}{K.},{}{Lee}{}{T.},{}{Chang}{}{D.}	Attitude observer on {SO(3)} with time-varying reference directions	NULL	July	2019	GE	NULL	Proceedings of the European Control Conference	NULL	NULL	4034--4039	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BisLeePICDC18	inproceedings	{}{Bisheban}{}{M.},{}{Lee}{}{T.}	Geometric adaptive control for a quadrotor {UAV} with wind disturbance rejection	NULL	December	2018	GC	NULL	Proceedings of IEEE Conference on Decision and Control	NULL	NULL	2816--2821	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePICDC18	inproceedings	{}{Lee}{}{T.}	Bayesian attitude estimation with approximate matrix {F}isher distributions on {SO(3)}	NULL	December	2018	GE	NULL	Proceedings of IEEE Conference on Decision and Control	NULL	NULL	5319--5325	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ZhaCruPACC18	inproceedings	{}{Zhao}{}{Z.},{}{Cruz}{}{G.},{}{Lee}{}{T.},{}{Bernstein}{}{D.}	Adaptive attitude control of a dual-rigid-body spacecraft with unmodeled nonminimum-phase dynamics	NULL	June	2018	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	2503--2508	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SimAgnPAIS18	inproceedings	{}{Simon}{}{L.},{}{Agnes}{}{R.},{}{Gamagedara}{}{K.},{}{Takami}{}{K.},{}{Snyder}{}{M.},{}{Lee}{}{T.}	Studies on autonomous landing of an unmanned aerial vehicle on a vessel	NULL	January	2018	GC	AIAA 2018-1461	Proceedings of AIAA Information Systems	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePAGNCC19	inproceedings	{}{Lee}{}{T.}	Spacecraft attitude estimation with a single magnetometer using matrix {F}isher distributions on {SO(3)}	NULL	January	2019	GE	AIAA 2019-1173	Proceedings of the AIAA Guidance, Navigation and Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamLeePAASM19	inproceedings	{}{Gamagedara}{}{K.},{}{Lee}{}{T.},{}{Snyder}{}{M.}	Real-time kinematics {GPS} based telemetry system for airborne measurements of ship air wake	NULL	January	2019	GE	AIAA 2019-2377	Proceedings of AIAA Aerospace Sciences Meeting	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauTakJIRS20	article	{}{Kaufman}{}{E.},{}{Takami}{}{K.},{}{Ai}{}{Z.},{}{Lee}{}{T.}	Bayesian mapping-based autonomous exploration and patrol of {3D} structured indoor environments with multiple flying robots	Journal of Intelligent and Robotic Systems	May	2020	GE	NULL	NULL	98	NULL	403--419	10.1007/s10846-019-01066-2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLeePAGNCC19	inproceedings	{}{Kaufman}{}{E.},{}{Lee}{}{T.}	Autonomous aerial exploration for topological mapping of {M}ars environments	NULL	January	2019	GE	AIAA 2019-1915	Proceedings of the AIAA Guidance, Navigation and Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KulLeePAASC18	inproceedings	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Real time adaptive shape reconstruction for asteroid landing	NULL	August	2018	GE	AAS 18-319	Proceedings of the AAS/AIAA Astrodynamics Specialist Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TakLeePIICRC18	inproceedings	{}{Takami}{}{K.},{}{Lee}{}{T.}	Environment dependent depth enhancement with multi-modal sensor fusion learning	NULL	January	2018	GE	NULL	Proceedings of the IEEE International Conference on Robotic Computing	NULL	NULL	232--237	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeChaAJDSMC18	article	{}{Lee}{}{T.},{}{Chang}{}{D.},{}{Eun}{}{Y.}	Semi-global non-memoryless attitude controls on the special orthogonal group	ASME Journal of Dynamic Systems, Measurement, and Control	October	2018	GC	NULL	NULL	141	2	021005	10.1115/1.4041447	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KulLeePASC17	inproceedings	{}{Kulumani}{}{S.},{}{Takami}{}{K.},{}{Lee}{}{T.}	Geometric control for autonomous landing on asteroid {I}tokawa using visual localization	NULL	August	2017	GC	AAS 17-720	Proceedings of the AAS/AIAA Astrodynamics Specialist Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauTakPIICRC18	inproceedings	{}{Kaufman}{}{E.},{}{Takami}{}{K.},{}{Lee}{}{T.}	Autonomous quadrotor 3d mapping and exploration using exact occupancy probabilities	NULL	January	2018	GE	NULL	Proceedings of the IEEE International Conference on Robotic Computing	NULL	NULL	49--55	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeChaPICCTA17	inproceedings	{}{Bisheban}{}{M.},{}{Lee}{}{T.}	Computational geometric identification for the quadrotor dynamics in wind fields	NULL	August	2017	GE	NULL	Proceedings of the IEEE Conference on Control Technology and Applications	NULL	NULL	1153--1158	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeParPAGNCC16	inproceedings	{}{Lee}{}{K.},{}{Park}{}{C.},{}{Lee}{}{T.},{}{Park}{}{S.}	Spacecraft formation keeping via discrete-time {H}amilton-{J}acobi theory	NULL	January	2016	GC	AIAA 2016-0874	Proceedings of the AIAA Guidance, Navigation and Control Conference	NULL	NULL	NULL	10.2514/6.2016-0874	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeITAC18	article	{}{Lee}{}{T.}	{B}ayesian attitude estimation with the matrix {F}isher distribution on {SO(3)}	IEEE Transactions on Automatic Control	October	2018	GE	NULL	NULL	63	10	3377--3392	10.1109/TAC.2018.2797162	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MalMutPAASM17	inproceedings	{}{Mallon}{}{C.},{}{Muthig}{}{B.},{}{Gamagedara}{}{K.},{}{Patil}{}{K.},{}{Friedman}{}{C.},{}{Lee}{}{T.},{}{Snyder}{}{M.}	Measurements of ship air wake using airborne anemometers	NULL	January	2017	GE	AIAA 2017-0252	Proceedings of AIAA Aerospace Sciences Meeting	NULL	NULL	NULL	http://dx.doi.org/10.2514/6.2017-0252	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KulLeePASMM17	inproceedings	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Bayesian attitude estimation on {SO(3)} with matrix {F}isher mixtures	NULL	February	2017	GE	{AAS} 17-324	Proceedings of the AIAA/AAS Spaceflight Mechanics Meeting	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KulLeeJCASE17	article	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Constrained geometric attitude control on {SO(3)}	International Journal of Control, Automation, and Systems	December	2017	GC	NULL	NULL	15	6	2796--2809	10.1007/s12555-016-0607-4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeeJIRS17	article	{}{Goodarzi}{}{F.},{}{Lee}{}{T.}	Global formulation of an extended {K}alman filter on {SE(3)} for geometric control of a quadrotor {UAV}	Journal of Intelligent and Robotic Systems	December	2017	GE	NULL	NULL	88	2--4	395--416	10.1007/s10846-017-0525-6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BisLeeIJCAS17	article	{}{Bisheban}{}{M.},{}{Lee}{}{T.}	Computational geometric system identification for the attitude dynamics on {SO(3)}	International Journal of Control, Automation, and Systems	December	2017	GE	NULL	NULL	15	6	2776--2785	10.1007/s12555-016-0714-2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BisLeePACC17	inproceedings	{}{Bisheban}{}{M.},{}{Lee}{}{T.}	Computational geometric system identification for the attitude dynamics on {SO(3)}	NULL	May	2017	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	2249--2254	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauTakJIRS18	article	{}{Kaufman}{}{E.},{}{Takami}{}{K.},{}{Lee}{}{T.},{}{Ai}{}{Z.}	Autonomous exploration with exact inverse sensor models	Journal of Intelligent and Robotic Systems	December	2018	GE	NULL	NULL	92	3--4	435--452	10.1007/s10846-017-0710-7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoMESA16	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Geometric formulations of {F}uruta pendulum control problems	Mathematics in engineering, science and aerospace	NULL	2016	GM	NULL	NULL	7	1	69--81	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeChaPACC17	inproceedings	{}{Lee}{}{T.},{}{Chang}{}{D.},{}{Eun}{}{Y.}	Attitude control strategies overcoming the topological obstruction on {SO(3)}	NULL	May	2017	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	4942--4947	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
